Size,Time (s)
1000,0.004
2000,0.012
3000,0.027
5000,0.066
8000,0.162
10000,0.249
15000,0.385
20000,0.518
30000,0.872
40000,1.329
50000,1.911
70000,3.423
100000,6.415
125000,9.896
150000,13.977
